OBJECTID_1,COUNTY,COUNTY_ID,TOWN,TOWN_ID,VILLAGE,VILLAGE_ID,V_ID,TV_ALL,VILLCODE,AREA
7322,南投縣,10008,信義鄉,10008120,豐丘村,014,10008120-014,信義鄉豐丘村,A0812-014-00,88790557.1506
7323,南投縣,10008,信義鄉,10008120,羅娜村,007,10008120-007,信義鄉羅娜村,A0812-007-00,17145070.4013
7324,南投縣,10008,南投市,10008010,三民里,003,10008010-003,南投市三民里,A0801-003-00,98415.7191
7325,南投縣,10008,南投市,10008010,三和里,016,10008010-016,南投市三和里,A0801-016-00,404173.6999
7326,南投縣,10008,南投市,10008010,三興里,015,10008010-015,南投市三興里,A0801-015-00,3346126.0013
7327,南投縣,10008,南投市,10008010,千秋里,014,10008010-014,南投市千秋里,A0801-014-00,2480810.1237
7328,南投縣,10008,南投市,10008010,仁和里,004,10008010-004,南投市仁和里,A0801-004-00,38593.783
7329,南投縣,10008,草屯鎮,10008030,土城里,020,10008030-020,草屯鎮土城里,A0803-020-00,5429167.8345
7330,南投縣,10008,草屯鎮,10008030,山腳里,005,10008030-005,草屯鎮山腳里,A0803-005-00,2201384.8826
7331,南投縣,10008,草屯鎮,10008030,中山里,025,10008030-025,草屯鎮中山里,A0803-025-00,465313.2337
7332,南投縣,10008,草屯鎮,10008030,中正里,024,10008030-024,草屯鎮中正里,A0803-024-00,54936.7431
7333,南投縣,10008,草屯鎮,10008030,中原里,018,10008030-018,草屯鎮中原里,A0803-018-00,3375739.5024
7334,南投縣,10008,草屯鎮,10008030,加老里,016,10008030-016,草屯鎮加老里,A0803-016-00,2498448.5635
7335,南投縣,10008,草屯鎮,10008030,北投里,014,10008030-014,草屯鎮北投里,A0803-014-00,2580303.5704
7336,高雄市,64000,苓雅區,64000080,林泉里,031,64000080-031,苓雅區林泉里,A6408-031-00,51205.03
7337,南投縣,10008,草屯鎮,10008030,北勢里,017,10008030-017,草屯鎮北勢里,A0803-017-00,4965006.2985
7338,南投縣,10008,草屯鎮,10008030,平林里,023,10008030-023,草屯鎮平林里,A0803-023-00,9646351.406
7339,南投縣,10008,草屯鎮,10008030,玉峰里,001,10008030-001,草屯鎮玉峰里,A0803-001-00,228682.0446
7340,南投縣,10008,草屯鎮,10008030,石川里,015,10008030-015,草屯鎮石川里,A0803-015-00,3123226.7926
7341,南投縣,10008,草屯鎮,10008030,和平里,003,10008030-003,草屯鎮和平里,A0803-003-00,140385.8016
7342,南投縣,10008,草屯鎮,10008030,坪頂里,021,10008030-021,草屯鎮坪頂里,A0803-021-00,8646049.6234
7343,南投縣,10008,國姓鄉,10008100,柑林村,009,10008100-009,國姓鄉柑林村,A0810-009-00,9969043.6676
7344,南投縣,10008,國姓鄉,10008100,乾溝村,008,10008100-008,國姓鄉乾溝村,A0810-008-00,23935175.9354
7345,南投縣,10008,國姓鄉,10008100,國姓村,001,10008100-001,國姓鄉國姓村,A0810-001-00,7585336.8057
7346,南投縣,10008,國姓鄉,10008100,福龜村,007,10008100-007,國姓鄉福龜村,A0810-007-00,7496189.1094
7347,南投縣,10008,魚池鄉,10008090,大林村,005,10008090-005,魚池鄉大林村,A0809-005-00,6696869.952
7348,南投縣,10008,魚池鄉,10008090,大雁村,008,10008090-008,魚池鄉大雁村,A0809-008-00,7075843.281
7349,高雄市,64000,新興區,64000060,振華里,004,64000060-004,新興區振華里,A6406-004-00,82330.6676
7350,南投縣,10008,魚池鄉,10008090,五城村,009,10008090-009,魚池鄉五城村,A0809-009-00,21509171.2683
7351,南投縣,10008,魚池鄉,10008090,日月村,013,10008090-013,魚池鄉日月村,A0809-013-00,13531222.0905
7352,南投縣,10008,魚池鄉,10008090,水社村,010,10008090-010,魚池鄉水社村,A0809-010-00,15462948.2424
7353,南投縣,10008,魚池鄉,10008090,共和村,007,10008090-007,魚池鄉共和村,A0809-007-00,9317755.7
7354,南投縣,10008,魚池鄉,10008090,東池村,001,10008090-001,魚池鄉東池村,A0809-001-00,3205645.3835
7355,南投縣,10008,魚池鄉,10008090,武登村,012,10008090-012,魚池鄉武登村,A0809-012-00,6943906.8399
7356,南投縣,10008,魚池鄉,10008090,魚池村,002,10008090-002,魚池鄉魚池村,A0809-002-00,2416336.1899
