ivid,blue,green
ILA-120-003,308,49
ILA-120-001,687,114
ILA-120-002,552,77
ILA-120-004,261,23
ILA-120-005,219,68
ILA-120-006,264,58
ILA-120-007,423,69
TAO-010-004,1571,1834
TAO-010-043,1040,1131
TAO-010-042,1128,1211
TAO-010-032,1415,1180
TAO-010-044,940,905
TAO-010-033,1299,1310
TAO-010-041,1516,1618
TAO-010-020,270,508
TAO-010-040,1171,1449
TAO-010-001,177,211
TAO-010-021,193,311
TAO-010-002,380,383
TAO-010-031,363,508
TAO-010-008,346,426
TAO-010-009,342,591
TAO-010-034,1133,1356
TAO-010-019,305,394
TAO-010-025,375,361
TAO-010-003,270,364
TAO-010-007,178,362
TAO-010-026,1284,1436
TAO-010-027,308,457
TAO-010-023,1298,1224
TAO-010-064,1003,799
TAO-010-030,1261,1129
TAO-010-029,1091,1182
TAO-010-062,1131,1022
TAO-010-065,1009,763
TAO-010-066,1000,597
TAO-010-070,1181,580
TAO-010-054,913,734
TAO-010-055,1238,1329
TAO-010-052,768,724
TAO-010-028,1022,1303
TAO-010-053,825,887
TAO-010-035,981,737
TAO-010-060,864,820
TAO-010-036,1281,742
TAO-010-056,932,527
TAO-010-071,874,810
TAO-010-059,1368,1013
TAO-010-017,454,815
TAO-010-049,845,674
TAO-010-069,741,676
TAO-010-011,901,1380
TAO-010-050,1459,1404
TAO-010-072,1013,775
TAO-010-061,1518,1107
TAO-010-018,517,1073
TAO-010-073,674,556
TAO-010-012,956,1299
TAO-010-016,719,919
TAO-010-063,878,1079
TAO-010-048,1122,1382
TAO-010-067,763,895
TAO-010-051,1570,1072
TAO-010-024,1162,1277
TAO-010-022,1900,1413
TAO-010-075,1003,807
TAO-010-074,1375,905
TAO-010-068,1079,721
TAO-010-076,772,614
TAO-010-045,1086,714
TAO-010-057,822,517
TAO-010-046,1804,1787
TAO-010-037,954,867
TAO-010-010,941,1184
TAO-010-005,1331,998
TAO-010-014,409,524
TAO-010-013,676,677
TAO-010-038,932,1399
TAO-010-047,1059,1099
TAO-010-039,420,577
TAO-010-006,1561,979
TAO-010-015,225,335
TAO-010-058,1442,1116
TAO-070-002,1372,1391
TAO-070-015,1434,1576
TAO-070-004,1267,1157
TAO-070-013,980,1068
TAO-070-030,675,320
TAO-070-007,1915,83
TAO-070-008,1449,336
TAO-070-023,476,437
TAO-070-003,794,766
TAO-070-025,1006,991
TAO-070-024,673,698
TAO-070-017,261,561
TAO-070-016,683,943
TAO-070-026,753,772
TAO-070-018,403,881
TAO-070-014,1108,1207
TAO-070-006,1074,940
TAO-070-005,705,793
TAO-070-022,1113,853
TAO-070-027,680,524
TAO-070-028,1049,1023
TAO-070-019,931,800
TAO-070-009,350,309
TAO-070-020,859,945
TAO-070-010,630,720
TAO-070-029,395,426
TAO-070-012,311,520
TAO-070-011,333,485
TAO-070-021,423,461
TAO-070-001,1031,1371
TAO-080-001,812,812
TAO-080-002,868,872
TAO-080-003,533,266
TAO-080-040,537,646
TAO-080-028,914,837
TAO-080-004,990,625
TAO-080-005,1182,494
TAO-080-006,1115,409
TAO-080-044,544,643
TAO-080-007,743,830
TAO-080-008,1037,851
TAO-080-009,698,782
TAO-080-010,477,493
TAO-080-045,976,204
TAO-080-038,766,628
TAO-080-011,1013,1237
TAO-080-012,813,754
TAO-080-039,676,557
TAO-080-013,553,770
TAO-080-014,492,831
TAO-080-032,362,604
TAO-080-026,803,964
TAO-080-033,597,711
TAO-080-015,514,850
TAO-080-034,314,478
TAO-080-016,610,722
TAO-080-041,541,446
TAO-080-025,1082,903
TAO-080-017,1514,832
TAO-080-029,738,629
TAO-080-024,1303,685
TAO-080-046,1797,150
TAO-080-018,341,462
TAO-080-035,386,345
TAO-080-019,868,886
TAO-080-020,979,683
TAO-080-021,477,404
TAO-080-027,949,417
TAO-080-042,799,560
TAO-080-030,760,695
TAO-080-022,1012,1021
TAO-080-031,577,965
TAO-080-023,611,741
TAO-080-037,435,459
TAO-080-036,524,323
TAO-080-043,698,459
TAO-050-001,737,1434
TAO-050-002,1191,1812
TAO-050-003,1074,1042
TAO-050-022,750,781
TAO-050-023,492,932
TAO-050-004,906,973
TAO-050-021,175,610
TAO-050-005,376,23
TAO-050-006,752,1440
TAO-050-018,3453,2869
TAO-050-017,1043,970
TAO-050-007,751,806
TAO-050-008,1022,1079
TAO-050-020,646,741
TAO-050-019,458,560
TAO-050-009,1647,1335
TAO-050-026,2375,1645
TAO-050-025,1272,1023
TAO-050-024,563,414
TAO-050-010,500,841
TAO-050-011,379,638
TAO-050-012,792,1281
TAO-050-013,235,625
TAO-050-014,284,744
TAO-050-015,480,903
TAO-050-016,1112,1141
TAO-060-001,1590,1839
TAO-060-002,1325,1617
TAO-060-003,918,1126
TAO-060-004,281,667
TAO-060-005,1702,1792
TAO-060-006,854,1462
TAO-060-007,1200,1695
TAO-060-008,538,458
TAO-060-010,643,899
TAO-060-011,1377,1591
TAO-060-012,793,773
TAO-060-013,423,435
TAO-060-014,806,805
TAO-060-015,605,682
TAO-060-016,608,795
TAO-060-017,572,722
TAO-060-018,634,779
TAO-060-019,848,707
TAO-030-001,407,629
TAO-030-002,201,471
TAO-030-025,947,1468
TAO-030-003,971,1389
TAO-030-004,1139,1661
TAO-030-005,257,501
TAO-030-006,154,409
TAO-030-011,249,502
TAO-030-012,289,758
TAO-030-007,590,1188
TAO-030-008,380,957
TAO-030-009,190,389
TAO-030-010,177,346
TAO-030-014,339,671
TAO-030-013,690,889
TAO-030-017,1436,1149
TAO-030-016,1110,147
TAO-030-015,1236,316
TAO-030-027,1150,860
TAO-030-018,1144,950
TAO-030-019,800,588
TAO-030-026,1101,804
TAO-030-021,1108,1451
TAO-030-020,373,336
TAO-030-023,757,345
TAO-030-022,799,1060
TAO-030-024,1041,435
TAO-130-001,524,435
TAO-130-002,505,162
TAO-130-004,233,18
TAO-130-003,302,12
TAO-130-009,373,93
TAO-130-005,252,52
TAO-130-007,240,30
TAO-130-010,289,39
TAO-130-006,241,16
TAO-130-008,423,137
TAO-020-038,400,456
TAO-020-032,368,413
TAO-020-076,1071,367
TAO-020-002,1842,731
TAO-020-048,648,995
TAO-020-007,1385,1014
TAO-020-037,1120,801
TAO-020-024,897,1016
TAO-020-039,1955,390
TAO-020-049,670,1321
TAO-020-070,768,653
TAO-020-006,1159,676
TAO-020-042,1034,664
TAO-020-014,508,438
TAO-020-065,1242,578
TAO-020-072,1387,559
TAO-020-008,3499,575
TAO-020-022,335,602
TAO-020-025,1885,1397
TAO-020-011,1134,782
TAO-020-015,935,795
TAO-020-078,1428,216
TAO-020-052,1339,963
TAO-020-043,654,953
TAO-020-045,446,490
TAO-020-027,1257,1637
TAO-020-079,1142,860
TAO-020-058,819,521
TAO-020-040,260,307
TAO-020-051,800,1387
TAO-020-063,2033,747
TAO-020-077,1436,200
TAO-020-069,744,601
TAO-020-026,1027,847
TAO-020-005,714,373
TAO-020-059,824,512
TAO-020-056,1331,881
TAO-020-034,2197,1639
TAO-020-073,1208,1152
TAO-020-033,1873,1119
TAO-020-050,225,239
TAO-020-047,672,1481
TAO-020-057,1066,627
TAO-020-016,972,750
TAO-020-054,650,944
TAO-020-028,211,237
TAO-020-031,1684,1391
TAO-020-018,533,487
TAO-020-060,802,585
TAO-020-041,725,500
TAO-020-064,816,948
TAO-020-066,1018,920
TAO-020-036,1639,1487
TAO-020-061,975,609
TAO-020-035,509,520
TAO-020-044,1173,1322
TAO-020-055,978,969
TAO-020-062,1142,873
TAO-020-017,837,483
TAO-020-001,1356,276
TAO-020-074,1295,1277
TAO-020-021,672,698
TAO-020-053,799,567
TAO-020-012,1474,705
TAO-020-004,316,272
TAO-020-046,409,926
TAO-020-029,1727,608
TAO-020-081,815,350
TAO-020-080,655,777
TAO-020-020,878,404
TAO-020-009,918,404
TAO-020-019,1215,518
TAO-020-068,1111,446
TAO-020-023,540,249
TAO-020-013,806,471
TAO-020-075,953,386
TAO-020-030,1114,334
TAO-020-071,1310,293
TAO-020-003,1011,294
TAO-020-010,1052,348
TAO-020-067,1013,213
TAO-100-012,902,920
TAO-100-027,665,722
TAO-100-013,1150,1038
TAO-100-033,994,713
TAO-100-045,1013,961
TAO-100-046,1231,801
TAO-100-015,755,443
TAO-100-032,761,675
TAO-100-016,1541,1007
TAO-100-014,1517,611
TAO-100-029,513,345
TAO-100-030,939,675
TAO-100-006,795,713
TAO-100-043,890,618
TAO-100-004,1060,1088
TAO-100-031,690,840
TAO-100-034,921,792
TAO-100-003,1028,665
TAO-100-042,1014,958
TAO-100-005,1051,754
TAO-100-028,1394,1288
TAO-100-001,1203,786
TAO-100-002,763,943
TAO-100-009,571,572
TAO-100-041,833,632
TAO-100-007,940,858
TAO-100-040,327,461
TAO-100-037,1175,951
