ivid,household,male,female
TPQ-030-019,2011,2367,2645
TPQ-030-020,1563,1794,2001
TPQ-030-021,1362,1610,1707
TPQ-030-022,2415,2725,2993
TPQ-030-023,2066,2120,2353
TPQ-030-024,1441,1803,1942
TPQ-030-025,3464,3973,4518
TPQ-030-026,2157,2682,2802
TPQ-030-027,1774,2307,2417
TPQ-030-028,1377,1770,1886
TPQ-030-029,1948,2421,2577
TPQ-030-030,2789,3210,3317
TPQ-030-031,2298,2387,2676
TPQ-030-032,1834,1979,2196
TPQ-030-033,1362,1649,1701
TPQ-030-034,1124,1607,1657
TPQ-030-035,2829,3706,3933
TPQ-030-036,1540,2003,2073
TPQ-030-037,1833,2408,2434
TPQ-030-038,1889,2654,2716
TPQ-030-039,1705,2043,2150
TPQ-030-040,1235,1640,1647
TPQ-030-041,142,208,185
TPQ-030-042,1823,2791,2622
TPQ-030-043,937,1317,1300
TPQ-030-044,3717,3986,3164
TPQ-030-045,2089,2689,2926
TPQ-030-046,1831,2216,2368
TPQ-030-047,2400,2582,2953
TPQ-030-048,1453,1860,1985
TPQ-030-049,2158,2573,2722
TPQ-030-050,1989,2434,2508
TPQ-030-051,1422,1750,1802
TPQ-030-052,2061,2963,3059
TPQ-030-053,959,1263,1144
TPQ-030-054,213,407,344
TPQ-030-055,3386,4162,4335
TPQ-030-056,951,1337,1425
TPQ-030-057,2514,3088,3154
TPQ-030-058,950,1432,1425
TPQ-030-059,2021,2759,2853
TPQ-030-060,1441,2100,2139
TPQ-030-061,1886,2660,2687
TPQ-030-062,1814,2394,2529
TPQ-030-063,968,1151,1279
TPQ-030-064,1662,2404,2485
TPQ-030-065,1256,1740,1702
TPQ-030-066,1888,2668,2703
TPQ-030-067,1724,2375,2430
TPQ-030-068,1754,2182,2285
TPQ-030-069,1462,2005,2056
TPQ-030-070,1838,2377,2566
TPQ-030-071,1531,2097,2119
TPQ-030-072,1491,1899,1997
TPQ-030-073,2740,3345,3601
TPQ-030-074,774,901,930
TPQ-030-075,1915,2153,2416
TPQ-030-076,1067,1380,1411
TPQ-030-077,1108,1329,1391
TPQ-030-078,1263,1713,1753
TPQ-030-079,876,1134,1253
TPQ-030-080,1570,2217,2393
TPQ-030-081,2724,3471,3645
TPQ-030-082,1303,1559,1765
TPQ-030-083,1111,1501,1559
TPQ-030-084,1622,2168,2132
TPQ-030-085,1568,2248,2295
TPQ-030-086,1461,2094,2144
TPQ-030-087,1148,1605,1534
TPQ-030-088,1371,1796,1754
TPQ-030-089,1649,2358,2347
TPQ-030-090,1299,1868,1818
TPQ-030-091,1240,1733,1727
TPQ-030-092,1366,1953,1915
TPQ-030-093,1273,1606,1681
TPQ-040-001,1453,1825,1889
TPQ-040-002,1108,1311,1447
TPQ-040-003,2659,2662,2530
TPQ-040-004,1314,1497,1747
TPQ-040-005,1099,1331,1436
TPQ-040-006,1472,1787,1974
